Country,Survival_to_65_female,Survival_to_65_male,Pop_0_14,Pop_15_64,Pop_65_up
Afghanistan,59.92083,53.96757,48.602897644,49.2320709229,2.1650295258
Albania,90.41216,82.35493,22.8280105591,67.0697784424,10.1022081375
Algeria,78.80736,72.08319,27.1200714111,68.1469955444,4.7329316139
Angola,47.29317,41.67731,47.8066139221,49.7721748352,2.4212133884
Antigua and Barbuda,83.68197,76.88089,26.2331924438,66.5333099365,7.2335009575
Argentina,86.71936,74.95061,24.8763313293,64.5020828247,10.621588707
Armenia,85.40091,72.66962,20.5149593353,68.9372940063,10.547744751
Aruba,86.71298,78.65533,20.8096694946,68.8908157349,10.2995166779
Australia,92.78963,87.98287,18.9433078766,67.6087112427,13.4479799271
Austria,92.0166,84.666,14.752240181,67.4177703857,17.8299865723
Azerbaijan,81.54067,68.63702,22.6934585571,71.3826293945,5.9239110947
Bahamas,82.25998,71.77744,22.4913864136,70.5512924194,6.9573202133
Bahrain,87.66343,86.19341,19.8681907654,78.0991516113,2.0326597691
Bangladesh,74.8534,70.79019,31.6638355255,63.7265548706,4.6096100807
Barbados,86.46391,77.90434,19.316608429,70.2763214111,10.4070672989
Belarus,82.10329,53.95502,14.8484840393,71.2083053589,13.9432115555
Belgium,90.7851,83.99582,16.7765083313,66.0598297119,17.1636657715
Belize,81.52205,71.17233,35.4548835754,60.6458320618,3.8992855549
Benin,60.62788,54.18199,43.4212265015,53.6989936829,2.8797771931
Bhutan,65.62713,65.48657,29.760969162,65.7327880859,4.5062413216
Bolivia,71.88795,63.93781,36.0442733765,59.265712738,4.6900138855
Bosnia and Herzegovina,87.71956,77.97321,17.3960056305,67.5331726074,15.0708189011
Botswana,22.85494,21.81852,34.2531852722,62.263469696,3.4833478928
Brazil,81.1403,68.35953,25.4917850494,67.600112915,6.9080991745
Brunei Darussalam,90.17864,84.74008,26.5934200287,69.7467880249,3.6597938538
Bulgaria,85.71014,68.48103,13.3175354004,68.344909668,18.3375549316
Burkina Faso,54.17205,50.4788,45.9989395142,51.522769928,2.4782879353
Burundi,49.99274,43.77247,43.9326591492,53.5411911011,2.5261478424
Cabo Verde,87.32127,73.97575,31.833814621,62.4317817688,5.7344017029
Cambodia,73.46503,66.67987,31.836233139,63.1336631775,5.0301041603
Cameroon,48.6384,44.94406,43.4124221802,53.3418464661,3.2457325459
Canada,91.1331,86.28564,16.4718322754,69.3724517822,14.155714035
Central African Republic,42.59323,36.35081,40.6466903687,55.4591674805,3.8941397667
Chad,43.90398,40.56714,48.8381347656,48.6557235718,2.5061385632
Channel Islands,91.78204,87.25209,15.2829151154,68.8994369507,15.817650795
Chile,89.88723,81.64625,22.140209198,68.677772522,9.18201828
China,85.15619,80.9077,18.1426124573,73.5073776245,8.3500099182
Colombia,83.97512,71.76485,28.760925293,65.6230697632,5.616004467
Comoros,60.96262,54.58658,42.2043647766,54.8833885193,2.9122462273
Congo Dem. Rep.,46.10654,39.73389,45.46434021,51.703918457,2.8317415714
Congo,55.30688,50.42946,42.2256660461,54.3678474426,3.4064860344
Costa Rica,89.64484,83.26848,24.9155769348,68.5843658447,6.5000529289
Cote d'Ivoire,41.42561,37.99858,41.8125076294,55.0801773071,3.1073184013
Croatia,89.89304,77.2453,15.2972078323,67.1640090942,17.5387802124
Cuba,88.38302,82.47927,17.31483078,70.2497177124,12.4354534149
Curacao,87.62481,76.94682,19.832611084,66.9788589478,13.188533783
Cyprus,92.60478,86.91555,17.7687473297,70.6635513306,11.5677022934
Czech Republic,89.61086,77.95753,14.1924905777,70.4294433594,15.3780651093
Denmark,89.31396,83.44122,17.9623737335,65.3753509521,16.662273407
Djibouti,61.36855,55.44881,34.1370162964,62.1660232544,3.6969628334
Dominican Republic,79.83743,69.1693,31.1744556427,62.8222160339,6.003326416
Ecuador,84.55997,75.1866,30.9532604218,62.8790779114,6.1676592827
Egypt,78.9851,68.50542,31.5141334534,62.9938430786,5.4920220375
El Salvador,81.03992,63.08615,32.0867729187,61.0430526733,6.8701767921
Equatorial Guinea,48.6462,43.06168,39.3187255859,57.7720565796,2.9092156887
Eritrea,60.65977,49.23039,43.0245513916,54.8607330322,2.1147124767
Estonia,86.58485,64.00704,15.4002246857,67.1185836792,17.4811878204
Ethiopia,62.5381,57.51317,44.4283981323,52.2660980225,3.3055016994
Fiji,76.3977,63.22786,29.0367069244,66.134803772,4.8284893036
Finland,91.51064,81.9922,16.5065517426,66.3605575562,17.1328907013
France,91.97971,82.99565,18.3531227112,64.8432312012,16.803647995
French Polynesia,86.01036,77.81834,23.7539405823,69.491355896,6.7547049522
Gabon,63.20614,58.75538,38.6332397461,56.0402069092,5.3265538216
Gambia,59.05676,52.49353,45.97498703,51.5012741089,2.5237410069
Georgia,87.08769,72.70213,17.2981185913,68.4844665527,14.217414856
Germany,91.51449,84.59231,13.410533905,65.7811431885,20.8083229065
Ghana,61.49768,56.41942,38.9554481506,57.4982070923,3.5463442802
Greece,92.99527,85.0836,14.5140333176,66.4959030151,18.990064621
Grenada,81.98696,69.72456,27.5103416443,65.243560791,7.2460999489
Guam,90.79179,83.79093,27.5025081635,65.2320632935,7.2654290199
Guatemala,79.50588,67.13014,41.5218658447,54.0597229004,4.4184126854
Guinea,54.02349,49.46561,42.8380012512,53.9936294556,3.1683702469
Guinea-Bissau,53.49639,47.32636,41.9029350281,55.1440658569,2.9529995918
Guyana,70.90295,58.78569,37.5583572388,59.1906394958,3.2510056496
Haiti,64.13013,56.72108,36.1519851685,59.3869285583,4.46108675
Honduras,80.12722,72.70318,36.7950782776,58.9012832642,4.3036375046
Hong Kong ,94.17267,88.21525,12.1439714432,74.9592208862,12.8968038559
Hungary,84.96672,66.77426,14.6441316605,68.6349563599,16.7209129333
Iceland,92.92782,88.88527,20.919878006,66.9345550537,12.1455659866
India,70.56015,61.33845,30.1722812653,64.7598342896,5.0678815842
Indonesia,78.63546,70.18379,29.8290748596,65.1613464355,5.0095829964
Iran,84.22758,76.47662,23.6167049408,71.2239074707,5.1593856812
Iraq,79.75102,64.12554,41.2292366028,55.3997383118,3.3710231781
Ireland,91.3539,86.33824,21.3460102081,67.3368759155,11.31711483
Israel,92.54758,87.42269,27.2381362915,62.3269767761,10.4348869324
Italy,93.41908,87.60097,14.039978981,65.6673431396,20.292678833
Jamaica,81.14027,72.18774,29.0396633148,63.1167793274,7.8435592651
Japan,93.69178,86.8658,13.286447525,63.7514038086,22.9621505737
Jordan,83.23728,77.2222,35.0854606628,61.5170936584,3.3974461555
Kazakhstan,76.21955,49.77024,24.9126148224,68.4362258911,6.6511621475
Kenya,59.54996,53.54223,42.5658340454,54.8191375732,2.6150307655
Kiribati,76.22771,65.07241,33.5931968689,62.5538406372,3.8529613018
Korea North,78.6774,65.45613,22.6659564972,68.556312561,8.7777318954
Korea South,94.29564,84.57693,16.2420158386,72.6801681519,11.0778150558
Kuwait,87.20498,83.06384,25.2071475983,72.6464920044,2.1463575363
Kyrgyz Republic,76.68422,56.76653,30.0459880829,65.5234527588,4.4305610657
Lao PDR,71.98548,65.9795,36.7702407837,59.4951477051,3.7346110344
Latvia,83.39321,58.67156,14.1548585892,67.4730987549,18.3720397949
Lebanon,91.2765,86.36729,23.7055568695,67.8448410034,8.4496021271
Lesotho,29.63282,28.63867,37.640007019,58.0828704834,4.2771220207
Liberia,59.84859,54.80661,43.3476829529,53.580783844,3.07153368
Libya,85.7819,79.14471,29.4451293945,65.9806671143,4.5742053986
Lithuania,84.05501,57.89761,15.2321186066,69.2646179199,15.5032644272
Luxembourg,90.8952,84.1922,17.6441516876,68.3635101318,13.9923410416
Macao ,92.97403,86.17825,12.7225389481,80.0761642456,7.2012958527
Macedonia,86.98483,77.07877,17.4332237244,70.9156417847,11.6511335373
Madagascar,66.00439,59.24236,43.4086761475,53.7449226379,2.8464009762
Malawi,46.85403,44.70014,45.8119239807,51.1155357361,3.0725417137
Malaysia,86.1135,76.14472,27.683391571,67.476600647,4.8400053978
Maldives,87.94379,84.03558,29.9747619629,65.015625,5.0096101761
Mali,51.96915,51.64093,46.7983055115,50.3021583557,2.8995361328
Malta,92.30769,85.83442,15.6237487793,69.8875579834,14.4886960983
Mauritania,65.54282,58.73493,40.5559082031,56.3045043945,3.1395902634
Mauritius,83.0905,69.25359,21.1580944061,71.1075134277,7.734392643
Mexico,86.35889,78.40472,30.0446815491,63.9725723267,5.9827475548
Micronesia,73.83078,69.57156,36.8996047974,59.2545776367,3.8458197117
Moldova,75.95659,56.93906,16.6704730988,72.1729278564,11.1565999985
Mongolia,75.19586,56.05037,26.9532470703,69.232673645,3.8140799999
Montenegro,85.21918,75.05785,19.4651317596,68.0715942383,12.4632711411
Morocco,78.42197,71.00713,28.1241035461,66.8569946289,5.0189051628
Mozambique,40.35155,36.31797,45.3440589905,51.4220809937,3.2338609695
Myanmar,69.11485,60.58984,26.0713348389,68.8354949951,5.0931682587
Namibia,63.39529,51.85695,37.6797828674,58.8712005615,3.4490196705
Nepal,71.90147,66.71614,37.1077690125,57.9700012207,4.9222273827
Netherlands,90.95971,87.61063,17.5023498535,67.0553512573,15.4422960281
New Caledonia,88.49134,79.47039,23.5222969055,66.9687728882,9.5089273453
New Zealand,90.86303,86.65368,20.4891738892,66.5050048828,13.0058221817
Nicaragua,81.52171,71.1,34.5068855286,60.9176864624,4.5754284859
Niger,56.64699,54.7488,49.8253517151,47.5920791626,2.5825693607
Nigeria,45.39277,42.42255,44.0225791931,53.2488021851,2.7286190987
Norway,91.80781,87.4977,18.8030433655,66.1853561401,15.0115995407
Oman,86.20023,80.26948,27.4045162201,70.0860748291,2.5094120502
Pakistan,70.53931,66.62289,35.4383850098,60.2393379211,4.3222770691
